success,cet_oapr,english,reading,science,quantitative,abstract,shs_gpa,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,ptotal,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,stotal,bscs,bsit,female,male,abm,gas,humss,stem,he,ict,arts,sports,class_rank_5,class_rank_10,class_rank_20,class_rank_none,highest_honor,high_honor,with_honor,awards_none,class_president,class_vice_president,class_secretary,class_treasurer,class_auditor,class_project_manager,class_pio,class_peace_officer,class_none,school_president,school_vice_president,school_senator,school_board,school_secretary,school_treasurer,school_auditor,school_project_manager,school_pio,school_peace_officer,school_grade_level_rep,school_volunteer,school_none,father_college,father_highschool,father_no_school,father_na,father_fulltime,father_part_time,father_self_employed,father_not_employed,father_emp_na,mother_college,mother_highschool,mother_no_school,mother_na,mother_fulltime,mother_part_time,mother_self_employed,mother_not_employed,mother_emp_na,income_100k,income_50k,income_20k,income_10k,income_below_10k,income_na,laptop_no,laptop_yes,internet_post_paid,internet_pre_paid,s25_teacher,s25_tutor,s25_friends,s25_family,s25_research,s25_leave_it
0,74.25,55.84,66.85,72.66,93.38,72.9,95,-2,1,2,0,-1,2,2,2,1,2,1,0,-2,2,2,0,1,0,-2,1,2,2,0,2,2,1,2,-1,2,2,1,2,2,0,2,-2,0,2,2,0,35,3,0,1,3,1,2,3,2,2,2,3,3,1,1,2,0,3,3,2,1,2,3,2,3,48,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,61.37,55.84,48.4,59.25,63.45,72.9,91.5,0,0,2,0,0,1,-1,0,0,1,0,1,-1,1,1,1,1,0,-1,1,1,1,0,2,0,0,2,1,1,0,1,1,1,0,1,0,1,2,2,0,24,3,2,2,1,2,2,3,3,3,2,2,3,2,2,2,2,1,2,2,2,3,3,3,2,54,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,70.3,41.05,77.12,93.41,84.63,33.69,87.44,0,0,0,0,-1,0,1,1,0,1,2,2,-1,0,0,0,1,0,-2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,-1,10,2,1,0,1,1,1,2,1,1,2,2,1,1,1,2,1,1,3,3,2,2,2,3,1,37,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,73.34,58.56,77.12,59.25,75.28,87.72,90,0,-2,0,-1,0,0,-2,-1,-1,-2,-2,0,-1,-1,-2,0,0,0,0,0,0,0,0,0,0,-2,-1,0,-2,0,0,-1,-2,0,0,-1,0,0,0,0,-24,2,1,0,2,1,0,3,3,3,3,3,2,1,1,2,2,3,3,3,1,3,2,2,3,49,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
1,69.19,66.01,90.94,89.19,10.45,33.69,85,0,0,1,1,1,1,1,0,0,2,1,0,1,1,1,2,2,0,-1,1,1,0,1,1,1,0,1,1,1,1,2,1,1,1,1,0,0,1,1,0,31,2,2,2,2,3,1,3,3,2,2,3,2,3,2,2,1,1,2,2,3,2,2,2,2,51,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,68.07,61.05,71.99,44.12,79.96,64.1,92.5,1,1,2,2,1,1,1,0,0,2,1,0,0,0,2,1,1,-1,-2,1,2,0,0,1,0,0,0,0,0,2,1,2,1,0,0,-1,1,1,2,0,26,1,0,0,2,0,3,3,2,3,2,3,1,2,1,3,2,1,3,0,1,2,2,3,2,42,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1,93.85,91.83,99.7,94.84,44.18,87.72,90.88,2,1,0,0,0,0,2,1,1,0,1,0,1,2,1,1,0,-1,-2,2,2,1,1,1,1,0,0,-1,2,1,1,0,2,1,2,0,2,2,2,1,33,2,1,2,1,2,1,1,1,1,1,1,0,2,2,3,3,3,3,3,2,2,2,3,2,44,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1,61.37,72.78,30.03,51.68,53.82,53.29,90.5,0,0,2,2,0,0,1,0,1,0,0,2,1,0,0,0,1,0,-2,2,0,-2,0,0,0,0,1,0,1,0,1,2,1,2,1,1,0,0,1,2,21,2,1,1,0,1,2,2,3,3,2,1,2,2,1,2,1,0,2,2,3,1,1,3,2,40,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
1,77.9,83.47,66.85,80.93,24.91,72.9,91.4,0,0,1,0,-1,-1,1,0,0,2,2,1,0,1,1,2,1,0,-1,1,0,2,0,1,0,0,1,1,1,2,2,0,2,0,0,-1,0,1,1,0,23,1,2,1,3,1,0,2,3,1,2,2,2,2,2,2,2,2,2,3,1,3,3,3,3,48,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1,72.43,74.8,54.75,66.81,24.91,91.68,92,0,1,1,0,1,1,2,0,1,2,1,1,0,2,1,2,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,2,1,-1,0,0,1,2,30,2,2,2,1,2,2,2,3,3,3,3,2,1,2,3,2,2,3,3,3,3,2,2,2,55,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,69.19,66.01,87.4,51.68,53.82,53.29,91.5,0,0,0,2,2,2,2,0,0,2,0,2,2,0,2,2,2,0,0,2,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,0,0,49,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
1,72.43,52.9,77.12,80.93,84.63,53.29,88,0,0,1,1,0,0,1,1,0,1,1,0,-2,1,0,1,1,0,-1,1,1,0,0,1,1,-1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,16,3,1,1,2,1,3,3,2,2,2,3,2,3,1,2,2,2,3,3,2,3,3,3,1,53,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
0,61.37,72.78,54.75,59.25,24.91,33.69,85.5,2,1,1,2,2,1,1,1,0,2,2,1,1,0,2,1,2,0,0,1,0,0,0,2,1,-1,0,0,1,2,1,1,2,2,2,1,2,2,2,1,44,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,52,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
1,80.63,61.05,82.26,89.19,84.63,79.78,87.79,2,1,0,1,1,2,1,0,1,2,2,1,0,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,0,1,0,1,0,1,1,45,3,2,2,3,2,1,2,2,2,3,2,1,2,3,2,2,2,2,1,2,1,0,1,3,46,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,73.34,89.71,48.4,44.12,34.54,53.29,92,0,1,2,1,0,0,2,1,0,2,1,1,-1,2,2,2,1,-1,-2,2,1,0,0,1,1,-1,1,0,1,1,2,1,1,1,2,0,0,0,1,0,29,2,1,1,1,2,1,3,3,3,2,2,0,2,2,2,0,1,3,2,2,2,3,3,2,45,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,72.43,66.01,71.99,36.55,75.28,87.72,89,2,0,2,1,1,1,1,1,1,2,1,2,0,1,2,2,1,0,0,2,2,2,1,2,2,1,1,1,2,1,1,2,2,1,1,-1,2,1,1,2,50,3,1,0,3,2,3,3,3,2,2,2,3,2,2,3,3,3,3,2,3,3,3,3,2,59,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
0,84.88,78.85,77.12,72.66,89.31,87.72,87.889,0,0,1,1,0,0,1,1,0,1,0,1,-1,0,0,0,0,-1,-1,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,7,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,39,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,81.43,80.58,82.26,85.06,63.45,53.29,87.5,0,1,2,1,0,-1,2,0,0,2,1,0,-1,2,0,2,0,-1,-2,1,1,0,1,0,0,-1,0,1,0,2,1,0,2,2,2,-1,0,0,0,0,19,2,2,2,1,3,0,1,3,3,1,3,2,1,1,3,1,3,3,2,3,1,1,2,2,46,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
0,93.22,93.41,48.4,93.41,92.22,95.65,89.5,1,1,1,0,0,1,1,1,0,2,1,0,0,-1,0,2,1,1,0,2,1,2,2,0,0,1,1,1,2,0,2,2,2,1,1,0,1,2,2,2,39,1,2,2,3,3,1,2,3,1,1,2,2,3,0,3,2,2,1,2,1,2,1,3,2,45,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1,76.98,80.58,82.26,59.25,63.45,53.29,89.5,0,0,0,0,0,-1,2,0,0,2,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,2,2,2,1,1,3,3,2,3,2,1,2,2,2,3,2,2,0,48,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,83.5,82.02,87.4,80.93,63.45,72.9,94,1,1,2,0,0,-1,2,2,1,1,1,1,0,2,2,2,1,0,0,2,1,1,2,2,1,-1,2,2,2,2,2,1,2,-1,1,-1,1,2,2,0,43,3,2,1,2,3,3,3,2,3,2,1,3,1,1,2,1,3,3,3,3,3,3,3,2,56,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
1,87.64,92.71,90.94,66.81,24.91,87.72,91,0,1,1,2,1,1,1,1,0,1,1,0,1,0,1,2,1,-1,-1,1,0,0,1,1,1,-1,1,0,1,0,1,1,1,1,2,-1,0,1,0,1,25,2,1,1,1,2,1,2,3,3,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,42,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1,66.95,66.01,48.4,85.06,63.45,33.69,92,0,1,-1,2,1,0,0,1,1,2,1,2,-1,1,0,1,0,0,-1,0,1,2,1,2,0,0,0,0,2,2,1,1,2,2,0,1,0,2,1,1,31,2,2,2,2,2,3,2,3,3,3,2,2,2,3,2,1,2,3,3,2,2,2,3,3,56,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1,76.07,68.5,71.99,66.81,79.96,79.78,91,1,1,1,1,0,1,1,1,1,2,1,1,0,0,1,2,2,0,0,2,1,0,0,0,0,0,0,0,2,1,1,1,0,0,2,0,0,1,1,2,31,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,48,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,60.09,41.05,77.12,80.93,75.28,13.13,95.21,0,0,-1,-2,-1,0,0,0,0,0,0,-1,-2,0,0,0,0,-2,-2,0,-1,0,-1,0,0,-1,-2,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,-21,2,2,2,1,2,1,2,2,2,1,1,2,2,1,2,0,1,2,1,2,2,2,2,2,39,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,54.31,49.95,42.05,44.12,70.61,63.1,82.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1,76.98,83.47,66.85,51.68,79.96,43.49,89.5,0,1,1,0,0,0,2,1,1,2,1,0,1,2,2,1,1,0,-2,2,1,0,1,0,1,0,-1,0,1,1,1,1,1,2,1,0,1,1,1,1,30,2,0,1,3,1,2,2,3,3,2,2,1,2,2,2,3,2,2,3,2,3,3,2,2,50,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
0,65.83,68.5,66.85,44.12,63.45,53.29,87.445,1,0,2,2,1,-2,0,0,1,1,-1,-1,-2,1,-1,2,2,-2,-1,2,1,2,-1,-2,2,-2,-2,2,2,-2,2,-2,2,-2,0,2,2,1,2,-2,10,2,3,0,3,1,1,3,3,1,2,0,1,3,2,3,3,3,3,2,3,3,1,3,3,52,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
1,79.72,86.35,71.99,80.93,44.18,43.49,86,1,2,-1,-1,-2,-1,2,2,0,0,1,-1,-2,2,2,0,1,0,-2,1,0,-1,0,1,1,0,-1,-1,0,-1,1,0,-1,1,1,-2,0,0,0,0,2,1,2,2,1,2,1,3,3,3,2,2,2,0,1,2,1,1,3,2,3,3,3,3,3,49,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
