success,cet_oapr,english,reading,science,quantitative,abstract,shs_gpa,program,sex,strand,class_rank,academic_awards,classroom_org,school_org,fathers_education,fathers_employment,mothers_education,mothers_employment,income,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,laptop,internet
0,74.25,55.84,66.85,72.66,93.38,72.9,95,BS Computer Science,Female,STEM,Top 5,High Honor,None,None,Associate degree,"Self-employed (doing business, etc.)",Bachelor’s degree,"Not Applicable (no work, not known, etc.)","Below P10,000",Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Often/Always,Never,Seldom,Often/Always,Seldom,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Seldom,Seldom,Sometimes,Never,Often/Always,Often/Always,Sometimes,Seldom,Sometimes,Often/Always,Sometimes,Often/Always,Research online,More than 1 hour but less than 2 hours/day,More than 3 hours but less than 4 hours/day,No,Pre-paid plan(Limited Data Subscription)
0,61.37,55.84,48.4,59.25,63.45,72.9,91.5,BS Information Technology,Female,TVL-ICT,Top 5,With Honor,Treasurer,None,"Some college credit, no degree","Self-employed (doing business, etc.)",Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)","P10,000 to P20,000",Neutral,Neutral,Strongly Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Often/Always,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Sometimes,Research online,More than 2 hours but less than 3 hours/day,More than 2 hours but less than 3 hours/day,Yes,Pre-paid plan(Limited Data Subscription)
0,70.3,41.05,77.12,93.41,84.63,33.69,87.44,BS Computer Science,Male,STEM,None,None,None,None,Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)",Bachelor’s degree,"Self-employed (doing business, etc.)","Below P10,000",Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Sometimes,Seldom,Never,Seldom,Seldom,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Seldom,Seldom,Seldom,Sometimes,Seldom,Seldom,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Often/Always,Seldom,Research online,More than 1 hour but less than 2 hours/day,More than 30 min. but less than 1 hour/day,Yes,Pre-paid plan(Limited Data Subscription)
1,73.34,58.56,77.12,59.25,75.28,87.72,90,BS Computer Science,Male,TVL-ICT,Top 10,None,None,None,Bachelor’s degree,"Not Applicable (no work, not known, etc.)","Some college credit, no degree","Not employed, not looking for work","P10,000 to P20,000",Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Sometimes,Seldom,Never,Sometimes,Seldom,Never,Often/Always,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Seldom,Often/Always,Sometimes,Sometimes,Often/Always,Ask my teachers at school,More than 3 hours but less than 4 hours/day,More than 2 hours but less than 3 hours/day,No,Pre-paid plan(Limited Data Subscription)
1,69.19,66.01,90.94,89.19,10.45,33.69,85,BS Computer Science,Male,GAS,None,None,Secretary,None,"Some high school, no diploma","Not Applicable (no work, not known, etc.)","Some high school, no diploma","Employed, working 40 hours or more per week (fulltime)","P10,000 to P20,000",Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Seldom,Often/Always,Often/Always,Sometimes,Sometimes,Often/Always,Sometimes,Often/Always,Sometimes,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Research online,More than 30 min. but less than 1 hour/day,More than 30 min. but less than 1 hour/day,Yes,Pre-paid plan(Limited Data Subscription)
1,68.07,61.05,71.99,44.12,79.96,64.1,92.5,BS Computer Science,Male,STEM,None,None,None,None,Trade/technical/vocational training,Retired,Professional degree,"Employed, working 1 to 39 hours or more per week (part-time)","P10,000 to P20,000",Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Seldom,Never,Never,Sometimes,Never,Often/Always,Often/Always,Sometimes,Often/Always,Sometimes,Often/Always,Seldom,Sometimes,Seldom,Often/Always,Sometimes,Seldom,Often/Always,Never,Seldom,Sometimes,Sometimes,Often/Always,Sometimes,Ask my friends,More than 1 hour but less than 2 hours/day,Up to 30 minutes/day,Planning to purchase,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,93.85,91.83,99.7,94.84,44.18,87.72,90.88,BS Computer Science,Male,TVL-HE,Top 5,Highest Honor,President,None,Bachelor’s degree,"Self-employed (doing business, etc.)",Bachelor’s degree,"Self-employed (doing business, etc.)","P10,000 to P20,000",Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Seldom,Sometimes,Seldom,Sometimes,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Never,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Research online,Up to 30 minutes/day,Up to 30 minutes/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,61.37,72.78,30.03,51.68,53.82,53.29,90.5,BS Computer Science,Female,GAS,None,With Honor,Secretary,None,Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)",Associate degree,"Employed, working 40 hours or more per week (fulltime)",Prefer not to say,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Sometimes,Seldom,Seldom,Never,Seldom,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Never,Sometimes,Sometimes,Often/Always,Seldom,Seldom,Often/Always,Sometimes,Research online,More than 2 hours but less than 3 hours/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,77.9,83.47,66.85,80.93,24.91,72.9,91.4,BS Information Technology,Male,ABM/BAM,None,None,None,None,Master’s degree,"Employed, working 40 hours or more per week (fulltime)",Bachelor’s degree,"Employed, working 40 hours or more per week (fulltime)","P20,000 to P50,000",Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Seldom,Sometimes,Seldom,Often/Always,Seldom,Never,Sometimes,Often/Always,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Seldom,Often/Always,Often/Always,Often/Always,Often/Always,Research online,More than 3 hours but less than 4 hours/day,More than 3 hours but less than 4 hours/day,Yes,Pre-paid plan(Limited Data Subscription)
1,72.43,74.8,54.75,66.81,24.91,91.68,92,BS Computer Science,Female,ABM/BAM,Top 5,With Honor,President,None,"Some high school, no diploma","Self-employed (doing business, etc.)",Nursery school to 8th grade,"Self-employed (doing business, etc.)","P10,000 to P20,000",Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Seldom,Sometimes,Often/Always,Sometimes,Sometimes,Often/Always,Often/Always,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Research online,More than 2 hours but less than 3 hours/day,Up to 30 minutes/day,Yes,Pre-paid plan(Limited Data Subscription)
0,69.19,66.01,87.4,51.68,53.82,53.29,91.5,BS Computer Science,Male,STEM,Top 10,With Honor,None,None,Master’s degree,Retired,"High school graduate, diploma or the equivalent","Not employed, not looking for work",Prefer not to say,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Ask my teachers at school,More than 2 hours but less than 3 hours/day,More than 2 hours but less than 3 hours/day,No,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,72.43,52.9,77.12,80.93,84.63,53.29,88,BS Computer Science,Female,GAS,None,None,Treasurer,Secretary,"Some high school, no diploma","Not employed, not looking for work","Some high school, no diploma","Not employed, not looking for work",Prefer not to say,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Often/Always,Seldom,Seldom,Sometimes,Seldom,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Often/Always,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Often/Always,Often/Always,Often/Always,Seldom,Research online,More than 2 hours but less than 3 hours/day,More than 1 hour but less than 2 hours/day,No,Pre-paid plan(Limited Data Subscription)
0,61.37,72.78,54.75,59.25,24.91,33.69,85.5,BS Computer Science,Male,TVL-ICT,None,None,None,None,"High school graduate, diploma or the equivalent","Employed, working 40 hours or more per week (fulltime)","Some high school, no diploma","Not Applicable (no work, not known, etc.)",Prefer not to say,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Often/Always,Sometimes,Ask my friends,More than 1 hour but less than 2 hours/day,More than 1 hour but less than 2 hours/day,Yes,"Post-paid plan(Unlimited Data Subscription to PLDT, GLOBE, SMART, Sky, etc.)"
1,80.63,61.05,82.26,89.19,84.63,79.78,87.79,BS Computer Science,Male,STEM,None,None,None,None,"Some high school, no diploma","Employed, working 40 hours or more per week (fulltime)","Some college credit, no degree","Employed, working 1 to 39 hours or more per week (part-time)","Below P10,000",Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Often/Always,Sometimes,Sometimes,Often/Always,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Often/Always,Sometimes,Seldom,Sometimes,Often/Always,Sometimes,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Never,Seldom,Often/Always,Ask my friends,Up to 30 minutes/day,Up to 30 minutes/day,Planning to purchase,Pre-paid plan(Limited Data Subscription)
